Community,Province,Day,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18
Marau,Guadalcanal,25,,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,26,,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,27,,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,28,,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,29,,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,30,,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,31,,,,,,,,,,,,,,,
Lata,Temotu,1,Not Available,,,,,,,,,,,,,,
Lata,Temotu,2,Not Available,,,,,,,,,,,,,,
Lata,Temotu,3,Not Available,,,,,,,,,,,,,,
Lata,Temotu,4,Not Available,,,,,,,,,,,,,,
Lata,Temotu,5,Not Available,,,,,,,,,,,,,,
Lata,Temotu,6,Not Available,,,,,,,,,,,,,,
Lata,Temotu,7,Not Available,,,,,,,,,,,,,,
Lata,Temotu,8,Not Available,,,,,,,,,,,,,,
Lata,Temotu,9,,,,,,,,,,,,,,,
Lata,Temotu,10,,,,,,,,,,,,,,,
Lata,Temotu,11,,,,,,,,,,,,,,,
Lata,Temotu,12,,,,,,,,,,,,,,,
Lata,Temotu,13,Not Available,,,,,,,,,,,,,,
Lata,Temotu,14,Not Available,,,,,,,,,,,,,,
Lata,Temotu,15,,,,,,,,,,,,,,,
Lata,Temotu,16,,,,,,,,,,,,,,,
Lata,Temotu,17,,,,,,,,,,,,,,,
Lata,Temotu,18,,,,,,,,,,,,,,,
Lata,Temotu,19,,,,,,,,,,,,,,,
Lata,Temotu,20,,,,,,,,,,,,,,,
Lata,Temotu,21,,,,,,,,,,,,,,,
Lata,Temotu,22,,,,,,,,,,,,,,,
Lata,Temotu,23,,,,,,,,,,,,,,,
Lata,Temotu,24,,,,,,,,,,,,,,,
Lata,Temotu,25,,,,,,,,,,,,,,,
Lata,Temotu,26,,,,,,,,,,,,,,,
Lata,Temotu,27,,,,,,,,,,,,,,,
Lata,Temotu,28,,,,,,,,,,,,,,,
Lata,Temotu,29,,,,,,,,,,,,,,,
Lata,Temotu,30,,,,,,,,,,,,,,,
Lata,Temotu,31,,,,,,,,,,,,,,,
"Toa, Gela",Central,1,,,,,,,,,,,,,,,
"Toa, Gela",Central,2,,,,,,,,,,,,,,,
"Toa, Gela",Central,3,,,,,,,,,,,,,,,
"Toa, Gela",Central,4,,,,,,,,,,,,,,,
"Toa, Gela",Central,5,,,,,,,,,,,,,,,
"Toa, Gela",Central,6,,,,,,,,,,,,,,,
"Toa, Gela",Central,7,,,,,,,,,,,,,,,
"Toa, Gela",Central,8,,,,,,,,,,,,,,,
"Toa, Gela",Central,9,,,,,,,,,,,,,,,
"Toa, Gela",Central,10,,,,,,,,,,,,,,,
"Toa, Gela",Central,11,,,,,,,,,,,,,,,
"Toa, Gela",Central,12,,,,,,,,,,,,,,,
"Toa, Gela",Central,13,,,,,,,,,,,,,,,
"Toa, Gela",Central,14,,,,,,,,,,,,,,,
"Toa, Gela",Central,15,,,,,,,,,,,,,,,
"Toa, Gela",Central,16,,,,,,,,,,,,,,,
"Toa, Gela",Central,17,,,,,,,,,,,,,,,
"Toa, Gela",Central,18,,,,,,,,,,,,,,,
"Toa, Gela",Central,19,,,,,,,,,,,,,,,
"Toa, Gela",Central,20,,,,,,,,,,,,,,,
"Toa, Gela",Central,21,,,,,,,,,,,,,,,
"Toa, Gela",Central,22,,,,,,,,,,,,,,,
"Toa, Gela",Central,23,,,,,,,,,,,,,,,
"Toa, Gela",Central,24,,,,,,,,,,,,,,,
"Toa, Gela",Central,25,,,,,,,,,,,,,,,
"Toa, Gela",Central,26,,,,,,,,,,,,,,,
"Toa, Gela",Central,27,,,,,,,,,,,,,,,
"Toa, Gela",Central,28,,,,,,,,,,,,,,,
"Toa, Gela",Central,29,,,,,,,,,,,,,,,
"Toa, Gela",Central,30,,,,,,,,,,,,,,,
"Toa, Gela",Central,31,,,,,,,,,,,,,,,
